Interval Size: UnMinuto
Top: Top5
Intervals: 533

Filters:
------------------------------------------------------------------------------------------

Stadistical Information
------------------------------------------------------------------------------------------
SERVER																			
StartInterval	TotalCount	HTTP_5??	HTTP_4??	HTTP_3??	between 0  and 2 segs	between 2 and 4 segs	between 4 and 6 segs	between 6 and 8 segs	between 8 and 10 segs	between 10 and 15 segs	between 15 and 20 segs	between 20 and 30 segs	between 30 and 40 segs	between 40 and 60 segs	between 60 and 80 segs	between 80 and 100 segs	between 100 and 120 segs	between 120 and 2147483647 segs	
07/03/2014 07:20:00 a.m.	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
07/03/2014 07:21:00 a.m.	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
07/03/2014 07:22:00 a.m.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
07/03/2014 07:23:00 a.m.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
07/03/2014 07:24:00 a.m.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
07/03/2014 07:25:00 a.m.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
07/03/2014 07:26:00 a.m.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
07/03/2014 07:27:00 a.m.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
07/03/2014 07:28:00 a.m.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
07/03/2014 07:29:00 a.m.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
07/03/2014 07:30:00 a.m.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
07/03/2014 07:31:00 a.m.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
07/03/2014 07:32:00 a.m.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
07/03/2014 07:33:00 a.m.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
07/03/2014 07:34:00 a.m.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
07/03/2014 07:35:00 a.m.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
07/03/2014 07:36:00 a.m.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
07/03/2014 07:37:00 a.m.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
07/03/2014 07:38:00 a.m.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
07/03/2014 07:39:00 a.m.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
07/03/2014 07:40:00 a.m.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
07/03/2014 07:41:00 a.m.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
07/03/2014 07:42:00 a.m.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
07/03/2014 07:43:00 a.m.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
07/03/2014 07:44:00 a.m.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
